FK_RESENAR,PK_ARENDE,ARENDE_FARDSATT,ARENDE_ANTAL_LEDSAGARE,ARENDE_ELMOPED,ARENDE_ENSAMAKNING,ARENDE_FRAMSATESPLACERING,ARENDE_ALLERGIANPASSAT,ARENDE_HUND,ARENDE_LANSGRANSDISPENS,ARENDE_BATTAXI,ARENDE_BRYGGA_1,ARENDE_BRYGGA_2
199011132389,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199011132397,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199011140903,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199011141547,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199011142388,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199011142396,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199011145191,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199011152387,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199011153575,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199011160026,,Rullstolstaxi,0,Ja,Ja,Ja,Ja, , , ,,
199011162386,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199011162485,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199011162725,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199011162964,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199011172385,,Taxi,0,Ja,Ja,Ja, , , , ,,
199011172393,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199011172476,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199011182384,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199011182392,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199011192383,,Taxi,0,Ja,Ja,Nej, , , , ,,
199011192391,,Taxi,0,Ja,Ja, , , , , ,,
199011202380,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199011202398,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199011212389,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199011222388,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
199011232387,,Taxi,0,Ja,Nej,Nej, , , , ,,
199011242386,,Taxi,0,Ja,Nej, , , , , ,,
199011242394,,Taxi,0,Ja, , , , , , ,,
199011252385,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199011252393,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199011262384,,Bartaxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199011272383,,Bartaxi,0,Nej,Nej,Nej,Nej, , , ,,
199011272391,,Taxi,0,Nej,Nej,Nej, , , , ,,
199011282382,,Taxi,0,Nej,Nej, , , , , ,,
199011292381,,Bartaxi,0,Nej, , , , , , ,,
199011292399,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199011302388,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199011302396,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199012012382,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199012022381,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199012032380,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199012032398,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199012042389,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199012042397,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199012052388,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199012052396,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199012062387,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199012072386,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199012072394,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199012082385,,Rullstolstaxi,0,Ja,Ja,Ja, , , , ,,
199012082393,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199012092384,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199012092392,,Rullstolstaxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199012102381,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199012102399,,Taxi,0,Ja,Ja,Nej, , , , ,,
199012112380,,Rullstolstaxi,0,Ja,Ja, , , , , ,,
199012112398,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199012122389,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199012132388,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199012132396,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
199012142387,,Bartaxi,0,Ja,Nej,Nej, , , , ,,
199012142395,,Taxi,0,Ja,Nej, , , , , ,,
199012152386,,Taxi,0,Ja, , , , , , ,,
199012152394,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199012162385,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199012162393,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199012172384,,Rullstolstaxi,0,Nej,Nej,Nej,Nej, , , ,,
199012172392,,Taxi,0,Nej,Nej,Nej, , , , ,,
199012182383,,Taxi,0,Nej,Nej, , , , , ,,
199012182391,,Taxi,0,Nej, , , , , , ,,
199012192382,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199012192390,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199012202389,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199012202397,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199012212388,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199012212396,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199012222387,,Bartaxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199012222395,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199012232386,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199012232394,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199012242385,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199012242393,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199012252384,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199012252392,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199012262383,,Taxi,0,Ja,Ja,Ja, , , , ,,
199012262391,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199012272382,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199012272390,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199012282381,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199012282399,,Taxi,0,Ja,Ja,Nej, , , , ,,
199012292380,,Taxi,0,Ja,Ja, , , , , ,,
199012292398,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199012302387,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199012302395,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199012312386,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
199012312394,,Bartaxi,0,Ja,Nej,Nej, , , , ,,
199101012392,,Taxi,0,Ja,Nej, , , , , ,,
199101022383,,Taxi,0,Ja, , , , , , ,,
199101022391,,Rullstolstaxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199101032382,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199101032390,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199101042381,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
199101042399,,Taxi,0,Nej,Nej,Nej, , , , ,,
199101052380,,Taxi,0,Nej,Nej, , , , , ,,
199101052398,,Taxi,0,Nej, , , , , , ,,
199101062389,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199101062397,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199101072388,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199101072396,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199101082387,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199101082395,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199101092386,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199101092394,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199101102383,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199101102391,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199101112382,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199101112390,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199101122381,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199101122399,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199101132380,,Taxi,0,Ja,Ja,Ja, , , , ,,
199101132398,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199101142389,,Bartaxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199101142397,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199101152388,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199101162387,,Taxi,0,Ja,Ja,Nej, , , , ,,
199101162395,,Taxi,0,Ja,Ja, , , , , ,,
199101172386,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199101172394,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199101182385,,Rullstolstaxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199101182393,,Rullstolstaxi,0,Ja,Nej,Nej,Nej, , , ,,
199101192384,,Taxi,0,Ja,Nej,Nej, , , , ,,
199101192392,,Taxi,0,Ja,Nej, , , , , ,,
199101202381,,Taxi,0,Ja, , , , , , ,,
199101202399,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199101212380,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199101212398,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199101222389,,Rullstolstaxi,0,Nej,Nej,Nej,Nej, , , ,,
199101222397,,Taxi,0,Nej,Nej,Nej, , , , ,,
199101232388,,Taxi,0,Nej,Nej, , , , , ,,
199101242387,,Taxi,0,Nej, , , , , , ,,
199101242395,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199101252386,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199101252394,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199101262385,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199101272384,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199101272392,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199101282383,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199101282391,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199101292390,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199101302389,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199101302397,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199101312388,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199101312396,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199102012383,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199102012391,,Taxi,0,Ja,Ja,Ja, , , , ,,
199102022382,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199102022390,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199102032381,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199102032399,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199102042380,,Taxi,0,Ja,Ja,Nej, , , , ,,
199102042398,,Rullstolstaxi,0,Ja,Ja, , , , , ,,
199102052389,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199102052397,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199102062388,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199102062396,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
199102072387,,Taxi,0,Ja,Nej,Nej, , , , ,,
199102072395,,Taxi,0,Ja,Nej, , , , , ,,
199102082386,,Taxi,0,Ja, , , , , , ,,
199102082394,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199102092385,,Rullstolstaxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199102092393,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199102102382,,Rullstolstaxi,0,Nej,Nej,Nej,Nej, , , ,,
199102102390,,Taxi,0,Nej,Nej,Nej, , , , ,,
199102112381,,Rullstolstaxi,0,Nej,Nej, , , , , ,,
199102112399,,Taxi,0,Nej, , , , , , ,,
199102122380,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199102122398,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199102132389,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199102132397,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199102142388,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199102142396,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199102152387,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199102152395,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199102162386,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199102162394,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199102172385,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199102172393,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199102182384,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199102182392,,Bartaxi,0,Ja,Ja,Ja,Nej, , , ,,
199102192383,,Taxi,0,Ja,Ja,Ja, , , , ,,
199102192391,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199102202380,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199102202398,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199102212389,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199102212397,,Taxi,0,Ja,Ja,Nej, , , , ,,
199102222388,,Taxi,0,Ja,Ja, , , , , ,,
199102232387,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199102232395,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199102242386,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199102242394,,Rullstolstaxi,0,Ja,Nej,Nej,Nej, , , ,,
199102252385,,Bartaxi,0,Ja,Nej,Nej, , , , ,,
199102252393,,Taxi,0,Ja,Nej, , , , , ,,
199102262384,,Taxi,0,Ja, , , , , , ,,
199102262392,,Bartaxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199102272383,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199102282382,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199102282390,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
199103012382,,Taxi,0,Nej,Nej,Nej, , , , ,,
199103012390,,Taxi,0,Nej,Nej, , , , , ,,
199103022381,,Taxi,0,Nej, , , , , , ,,
199103022399,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199103032380,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199103032398,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199103042389,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199103042397,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199103052388,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199103052396,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199103062387,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199103062395,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199103072386,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199103082385,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199103082393,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199103092392,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199103102381,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199103102399,,Taxi,0,Ja,Ja,Ja, , , , ,,
199103112380,,Bartaxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199103112398,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199103122389,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199103122397,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199103132388,,Taxi,0,Ja,Ja,Nej, , , , ,,
199103132396,,Taxi,0,Ja,Ja, , , , , ,,
199103142387,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199103142395,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199103152386,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199103152394,,Rullstolstaxi,0,Ja,Nej,Nej,Nej, , , ,,
199103162385,,Bartaxi,0,Ja,Nej,Nej, , , , ,,
199103162393,,Taxi,0,Ja,Nej, , , , , ,,
199103172384,,Taxi,0,Ja, , , , , , ,,
199103172392,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199103182383,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199103182391,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199103192382,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
199103192390,,Rullstolstaxi,0,Nej,Nej,Nej, , , , ,,
199103202389,,Taxi,0,Nej,Nej, , , , , ,,
199103202397,,Taxi,0,Nej, , , , , , ,,
199103212388,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199103212396,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199103222387,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199103222395,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199103232386,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199103232394,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199103242385,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199103242393,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199103252384,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199103252392,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199103262383,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199103262391,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199103272382,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199103272390,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199103282381,,Taxi,0,Ja,Ja,Ja, , , , ,,
199103282399,,Bartaxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199103292380,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199103292398,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199103302387,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199103302395,,Taxi,0,Ja,Ja,Nej, , , , ,,
199103312386,,Taxi,0,Ja,Ja, , , , , ,,
199103312394,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199104012381,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199104012399,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199104022380,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
199104022398,,Rullstolstaxi,0,Ja,Nej,Nej, , , , ,,
199104032389,,Taxi,0,Ja,Nej, , , , , ,,
199104032397,,Taxi,0,Ja, , , , , , ,,
199104042388,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199104042396,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199104052387,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199104052395,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
199104062386,,Taxi,0,Nej,Nej,Nej, , , , ,,
199104062394,,Bartaxi,0,Nej,Nej, , , , , ,,
199104072385,,Taxi,0,Nej, , , , , , ,,
199104072393,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199104082384,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199104082392,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199104092383,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199104092391,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199104102380,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199104102398,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199104112389,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199104112397,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199104122388,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199104122396,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199104132387,,Rullstolstaxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199104132395,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199104142386,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199104142394,,Taxi,0,Ja,Ja,Ja, , , , ,,
199104152385,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199104152393,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199104162384,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199104162392,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199104172383,,Taxi,0,Ja,Ja,Nej, , , , ,,
199104172391,,Bartaxi,0,Ja,Ja, , , , , ,,
199104182382,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199104182390,,Rullstolstaxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199104192381,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199104192399,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
199104202388,,Bartaxi,0,Ja,Nej,Nej, , , , ,,
199104202396,,Taxi,0,Ja,Nej, , , , , ,,
199104212387,,Taxi,0,Ja, , , , , , ,,
199104212395,,Bartaxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199104222386,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199104222394,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199104232385,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
199104232393,,Taxi,0,Nej,Nej,Nej, , , , ,,
199104242384,,Taxi,0,Nej,Nej, , , , , ,,
199104242392,,Bartaxi,0,Nej, , , , , , ,,
199104252383,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199104252391,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199104262382,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199104262390,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199104272381,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199104272399,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199104282380,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199104282398,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199104292389,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199104292397,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199104302386,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199104302394,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199105012380,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199105012398,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
199105022389,,Taxi,0,Ja,Ja,Ja, , , , ,,
199105022397,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
199105032388,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
199105032396,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
199105042387,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
199105042395,,Taxi,0,Ja,Ja,Nej, , , , ,,
199105052386,,Taxi,0,Ja,Ja, , , , , ,,
199105052394,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
199105062385,,Rullstolstaxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
199105062393,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
199105072384,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
199105072392,,Taxi,0,Ja,Nej,Nej, , , , ,,
199105082383,,Taxi,0,Ja,Nej, , , , , ,,
199105082391,,Taxi,0,Ja, , , , , , ,,
199105092382,,Bartaxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
199105092390,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
199105102389,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
199105102397,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
199105112388,,Taxi,0,Nej,Nej,Nej, , , , ,,
199105112396,,Rullstolstaxi,0,Nej,Nej, , , , , ,,
199105122387,,Taxi,0,Nej, , , , , , ,,
199105122395,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
199105132386,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
199105132394,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
199105142385,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
199105142393,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
199105152384,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
199105152392,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
199105162383,,Bartaxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
199105162391,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
199105172382,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
199105172390,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
199105182381,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
199105182399,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
199105192380,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
